,Equipo,penaltis
0,Sevilla FC,11
1,FC Barcelona,11
2,Real Madrid CF,10
3,FC Villarreal,7
4,Cádiz CF,6
5,Valência CF,6
6,Athletic Bilbao,5
7,Celta de Vigo,5
8,Deportivo Alavés,5
9,Real Sociedad,5
10,RCD Espanyol,4
11,RC Deportivo de Corunha,4
12,Atlético de Madrid,4
13,CA Osasuna,4
14,Getafe CF,3
15,Racing Santander,3
16,Málaga CF,2
17,Real Bétis,2
18,Real Zaragoza,2
19,RCD Mallorca,1
