,Equipo,penaltis
0,FC Villarreal,13
1,Real Sociedad,12
2,Real Bétis,11
3,Valência CF,10
4,SD Eibar,9
5,FC Barcelona,8
6,Deportivo Alavés,8
7,Real Valladolid CF,8
8,Atlético de Madrid,7
9,Sevilla FC,7
10,Celta de Vigo,7
11,Levante UD,6
12,CA Osasuna,6
13,Getafe CF,5
14,Granada CF,5
15,Athletic Bilbao,5
16,SD Huesca,4
17,Cádiz CF,4
18,Elche CF,3
19,Real Madrid CF,3
