,Equipo,penaltis_contra
0,Rayo Vallecano,11
1,SD Huesca,9
2,Levante UD,9
3,Real Valladolid CF,9
4,Girona FC,8
5,Valência CF,8
6,Real Madrid CF,8
7,RCD Espanyol,8
8,Sevilla FC,7
9,Celta de Vigo,7
10,Getafe CF,7
11,Deportivo Alavés,6
12,Atlético de Madrid,5
13,Athletic Bilbao,5
14,Real Bétis,5
15,FC Villarreal,5
16,CD Leganés,4
17,SD Eibar,4
18,Real Sociedad,3
19,FC Barcelona,2
