,Equipo,penaltis
0,FC Villarreal,11
1,Real Madrid CF,11
2,SD Eibar,10
3,RCD Mallorca,10
4,Athletic Bilbao,10
5,Celta de Vigo,9
6,Valência CF,8
7,Atlético de Madrid,8
8,CA Osasuna,8
9,Real Bétis,7
10,Getafe CF,7
11,Sevilla FC,7
12,Real Valladolid CF,6
13,FC Barcelona,6
14,Deportivo Alavés,6
15,CD Leganés,5
16,Real Sociedad,5
17,Granada CF,5
18,Levante UD,5
19,RCD Espanyol,4
