,Equipo,penaltis_contra
0,Deportivo Alavés,10
1,Real Sociedad,8
2,FC Villarreal,8
3,Sevilla FC,8
4,CD Leganés,7
5,Málaga CF,7
6,Levante UD,6
7,RCD Espanyol,6
8,Athletic Bilbao,6
9,UD Las Palmas,5
10,RC Deportivo de Corunha,5
11,Girona FC,5
12,Celta de Vigo,5
13,Valência CF,5
14,SD Eibar,4
15,Real Bétis,4
16,Real Madrid CF,4
17,Getafe CF,4
18,Atlético de Madrid,4
19,FC Barcelona,2
