,Equipo,penaltis_contra
0,Recreativo de Huelva,9
1,Real Zaragoza,8
2,Celta de Vigo,7
3,Real Madrid CF,6
4,RC Deportivo de Corunha,6
5,Athletic Bilbao,6
6,RCD Espanyol,5
7,Real Bétis,5
8,RCD Mallorca,5
9,FC Villarreal,5
10,Valência CF,5
11,Gimnàstic de Tarragona,5
12,Sevilla FC,5
13,FC Barcelona,5
14,Real Sociedad,4
15,Getafe CF,4
16,Levante UD,3
17,Racing Santander,3
18,Atlético de Madrid,3
19,CA Osasuna,3
