,Equipo,penaltis
0,Sevilla FC,12
1,Real Madrid CF,12
2,Athletic Bilbao,11
3,Real Sporting de Gijón,8
4,Racing Santander,6
5,Málaga CF,6
6,RCD Mallorca,6
7,Real Zaragoza,6
8,RCD Espanyol,6
9,Atlético de Madrid,5
10,FC Barcelona,5
11,CA Osasuna,5
12,RC Deportivo de Corunha,5
13,Hércules CF,4
14,Getafe CF,4
15,Real Sociedad,4
16,FC Villarreal,4
17,Valência CF,3
18,Levante UD,2
19,UD Almería,1
