,Equipo,penaltis_contra
0,Málaga CF,11
1,Getafe CF,10
2,Racing Santander,10
3,Athletic Bilbao,8
4,RCD Mallorca,8
5,Valência CF,7
6,Atlético de Madrid,7
7,Real Zaragoza,6
8,Real Sporting de Gijón,5
9,Levante UD,5
10,Sevilla FC,5
11,FC Barcelona,5
12,UD Almería,5
13,Hércules CF,4
14,RCD Espanyol,4
15,Real Madrid CF,4
16,RC Deportivo de Corunha,4
17,CA Osasuna,3
18,FC Villarreal,2
19,Real Sociedad,2
