,Equipo,penaltis
0,FC Villarreal,11
1,RC Deportivo de Corunha,8
2,Real Murcia CF,8
3,Getafe CF,7
4,RCD Espanyol,7
5,Real Zaragoza,7
6,FC Barcelona,7
7,UD Almería,6
8,Sevilla FC,6
9,Levante UD,6
10,Real Madrid CF,6
11,Racing Santander,5
12,Real Bétis,5
13,Athletic Bilbao,4
14,Atlético de Madrid,4
15,Real Valladolid CF,4
16,RCD Mallorca,4
17,Valência CF,4
18,CA Osasuna,3
19,Recreativo de Huelva,1
