,Equipo,penaltis_contra
0,Deportivo Alavés,10
1,Racing Santander,8
2,Real Zaragoza,7
3,Málaga CF,7
4,CA Osasuna,6
5,Real Madrid CF,6
6,Atlético de Madrid,6
7,Getafe CF,5
8,Celta de Vigo,5
9,Sevilla FC,5
10,Real Bétis,5
11,Real Sociedad,4
12,FC Barcelona,4
13,Cádiz CF,4
14,Valência CF,4
15,RC Deportivo de Corunha,3
16,Athletic Bilbao,3
17,FC Villarreal,3
18,RCD Espanyol,3
19,RCD Mallorca,2
