,Equipo,penaltis_contra
0,FC Barcelona,11
1,Levante UD,9
2,UD Almería,8
3,CA Osasuna,7
4,Athletic Bilbao,7
5,Real Bétis,7
6,Sevilla FC,7
7,FC Villarreal,6
8,RC Deportivo de Corunha,5
9,RCD Mallorca,5
10,Real Zaragoza,5
11,RCD Espanyol,5
12,Valência CF,4
13,Racing Santander,4
14,Recreativo de Huelva,4
15,Real Murcia CF,4
16,Real Madrid CF,4
17,Getafe CF,4
18,Atlético de Madrid,4
19,Real Valladolid CF,3
