,Equipo,penaltis
0,FC Barcelona,19
1,Real Madrid CF,9
2,SD Eibar,8
3,Sevilla FC,7
4,Granada CF,7
5,Athletic Bilbao,5
6,Celta de Vigo,5
7,Valência CF,5
8,UD Las Palmas,5
9,Málaga CF,4
10,Real Bétis,4
11,RCD Espanyol,3
12,Rayo Vallecano,3
13,FC Villarreal,3
14,Atlético de Madrid,2
15,Real Sporting de Gijón,2
16,Getafe CF,2
17,Levante UD,2
18,Real Sociedad,1
19,RC Deportivo de Corunha,1
