,Equipo,penaltis_contra
0,FC Villarreal,9
1,Atlético de Madrid,7
2,Xerez CD,7
3,Racing Santander,6
4,RCD Espanyol,6
5,Málaga CF,6
6,CD Tenerife,5
7,Real Sporting de Gijón,4
8,RCD Mallorca,4
9,UD Almería,4
10,RC Deportivo de Corunha,3
11,Athletic Bilbao,3
12,Valência CF,3
13,Real Valladolid CF,2
14,Real Madrid CF,2
15,CA Osasuna,2
16,Real Zaragoza,2
17,FC Barcelona,1
18,Sevilla FC,1
19,Getafe CF,1
