,Equipo,penaltis
0,Real Madrid CF,13
1,FC Barcelona,11
2,FC Villarreal,10
3,Levante UD,8
4,Real Zaragoza,6
5,Rayo Vallecano,6
6,Atlético de Madrid,6
7,RCD Mallorca,5
8,Sevilla FC,4
9,Valência CF,4
10,Racing Santander,4
11,Granada CF,4
12,Real Bétis,3
13,Real Sporting de Gijón,3
14,Getafe CF,3
15,Málaga CF,2
16,Athletic Bilbao,2
17,CA Osasuna,2
18,Real Sociedad,1
19,RCD Espanyol,1
