,Equipo,penaltis_contra
0,Cádiz CF,10
1,Elche CF,10
2,Real Valladolid CF,10
3,Girona FC,8
4,Celta de Vigo,8
5,Getafe CF,8
6,RCD Mallorca,7
7,RCD Espanyol,6
8,UD Almería,6
9,Real Madrid CF,5
10,Atlético de Madrid,5
11,Rayo Vallecano,5
12,Valência CF,5
13,FC Villarreal,4
14,CA Osasuna,4
15,Real Bétis,3
16,Athletic Bilbao,3
17,FC Barcelona,3
18,Sevilla FC,3
19,Real Sociedad,2
