,Equipo,penaltis
0,Real Sociedad,10
1,FC Barcelona,9
2,Real Madrid CF,9
3,SD Eibar,8
4,Real Valladolid CF,7
5,Valência CF,7
6,Levante UD,7
7,Athletic Bilbao,7
8,Real Bétis,7
9,SD Huesca,7
10,Celta de Vigo,7
11,FC Villarreal,6
12,Sevilla FC,6
13,Getafe CF,6
14,Girona FC,6
15,CD Leganés,5
16,Rayo Vallecano,5
17,Atlético de Madrid,4
18,RCD Espanyol,4
19,Deportivo Alavés,3
