,Equipo,penaltis_contra
0,Valência CF,10
1,Atlético de Madrid,10
2,RCD Mallorca,10
3,Real Sporting de Gijón,9
4,CD Numância,8
5,Recreativo de Huelva,8
6,Athletic Bilbao,7
7,CA Osasuna,7
8,Sevilla FC,7
9,RC Deportivo de Corunha,7
10,Racing Santander,6
11,Málaga CF,6
12,Real Bétis,6
13,Real Madrid CF,6
14,FC Villarreal,6
15,RCD Espanyol,5
16,Getafe CF,5
17,Real Valladolid CF,5
18,FC Barcelona,3
19,UD Almería,3
