,Equipo,penaltis_contra
0,RCD Mallorca,16
1,Deportivo Alavés,14
2,Real Bétis,11
3,FC Villarreal,9
4,Real Sociedad,9
5,Valência CF,9
6,Real Valladolid CF,8
7,RCD Espanyol,7
8,FC Barcelona,7
9,CD Leganés,7
10,Athletic Bilbao,7
11,Levante UD,7
12,Getafe CF,6
13,SD Eibar,6
14,CA Osasuna,5
15,Celta de Vigo,5
16,Granada CF,5
17,Atlético de Madrid,4
18,Sevilla FC,4
19,Real Madrid CF,2
