,Equipo,penaltis
0,Athletic Bilbao,10
1,Real Madrid CF,8
2,Real Sporting de Gijón,6
3,RCD Mallorca,6
4,Getafe CF,6
5,Real Zaragoza,5
6,Sevilla FC,5
7,CD Tenerife,4
8,Atlético de Madrid,4
9,Racing Santander,4
10,UD Almería,3
11,Xerez CD,3
12,CA Osasuna,3
13,Valência CF,3
14,FC Barcelona,3
15,RC Deportivo de Corunha,3
16,Real Valladolid CF,2
17,Málaga CF,0
18,RCD Espanyol,0
19,FC Villarreal,0
