,Equipo,penaltis_contra
0,Granada CF,12
1,Cádiz CF,10
2,Real Bétis,10
3,Elche CF,10
4,FC Villarreal,9
5,Celta de Vigo,8
6,Real Madrid CF,8
7,Getafe CF,8
8,Valência CF,8
9,CA Osasuna,8
10,Real Valladolid CF,7
11,Athletic Bilbao,6
12,Sevilla FC,6
13,SD Huesca,5
14,FC Barcelona,5
15,SD Eibar,5
16,Real Sociedad,5
17,Levante UD,4
18,Atlético de Madrid,4
19,Deportivo Alavés,3
