,Equipo,penaltis
0,Sevilla FC,11
1,Racing Santander,10
2,Atlético de Madrid,8
3,FC Barcelona,8
4,Recreativo de Huelva,7
5,Athletic Bilbao,7
6,RC Deportivo de Corunha,5
7,Celta de Vigo,5
8,Real Madrid CF,5
9,Real Sociedad,4
10,Valência CF,4
11,Real Bétis,4
12,Gimnàstic de Tarragona,4
13,Real Zaragoza,4
14,CA Osasuna,4
15,Levante UD,3
16,RCD Espanyol,3
17,RCD Mallorca,2
18,Getafe CF,2
19,FC Villarreal,2
