,Equipo,penaltis
0,Levante UD,13
1,Real Madrid CF,12
2,Real Sociedad,11
3,Valência CF,9
4,CA Osasuna,8
5,Athletic Bilbao,7
6,Deportivo Alavés,7
7,RCD Mallorca,7
8,FC Barcelona,7
9,Cádiz CF,6
10,Celta de Vigo,6
11,FC Villarreal,6
12,Real Bétis,6
13,Getafe CF,5
14,Granada CF,5
15,Atlético de Madrid,5
16,RCD Espanyol,5
17,Rayo Vallecano,4
18,Sevilla FC,3
19,Elche CF,1
