,Equipo,penaltis
0,Getafe CF,12
1,Real Madrid CF,10
2,Girona FC,8
3,Athletic Bilbao,8
4,UD Las Palmas,8
5,Valência CF,8
6,Málaga CF,6
7,RC Deportivo de Corunha,5
8,FC Barcelona,5
9,Atlético de Madrid,5
10,Sevilla FC,5
11,Real Sociedad,5
12,FC Villarreal,5
13,Levante UD,5
14,Deportivo Alavés,3
15,SD Eibar,3
16,Real Bétis,3
17,Celta de Vigo,3
18,RCD Espanyol,3
19,CD Leganés,3
