,Equipo,penaltis
0,FC Barcelona,9
1,Atlético de Madrid,8
2,SD Eibar,8
3,FC Villarreal,8
4,Real Madrid CF,8
5,Real Sociedad,8
6,Athletic Bilbao,8
7,RC Deportivo de Corunha,7
8,Real Sporting de Gijón,7
9,Celta de Vigo,7
10,CA Osasuna,6
11,Valência CF,6
12,UD Las Palmas,6
13,Málaga CF,5
14,Sevilla FC,5
15,RCD Espanyol,4
16,CD Leganés,4
17,Deportivo Alavés,4
18,Real Bétis,2
19,Granada CF,1
