,Equipo,penaltis
0,Real Madrid CF,13
1,Sevilla FC,10
2,Elche CF,7
3,RC Deportivo de Corunha,7
4,Valência CF,7
5,FC Barcelona,7
6,Málaga CF,6
7,Celta de Vigo,6
8,Atlético de Madrid,6
9,UD Almería,6
10,Granada CF,6
11,Athletic Bilbao,5
12,Levante UD,4
13,RCD Espanyol,4
14,Córdoba CF,3
15,Rayo Vallecano,3
16,Real Sociedad,3
17,Getafe CF,2
18,FC Villarreal,2
19,SD Eibar,2
