,Equipo,penaltis_contra
0,Levante UD,11
1,Athletic Bilbao,8
2,RC Deportivo de Corunha,7
3,Valência CF,7
4,Sevilla FC,7
5,Rayo Vallecano,7
6,Real Valladolid CF,7
7,Real Bétis,6
8,Getafe CF,6
9,Celta de Vigo,6
10,CA Osasuna,6
11,Real Zaragoza,6
12,RCD Espanyol,5
13,Málaga CF,5
14,RCD Mallorca,4
15,FC Barcelona,4
16,Real Madrid CF,3
17,Real Sociedad,3
18,Granada CF,1
19,Atlético de Madrid,0
