,Equipo,penaltis_contra
0,Athletic Bilbao,9
1,RCD Espanyol,8
2,Rayo Vallecano,8
3,Real Bétis,7
4,Atlético de Madrid,6
5,Getafe CF,6
6,Racing Santander,6
7,Málaga CF,5
8,Real Zaragoza,5
9,CA Osasuna,5
10,Sevilla FC,5
11,Levante UD,5
12,Granada CF,5
13,Real Sociedad,4
14,FC Barcelona,4
15,RCD Mallorca,3
16,Real Sporting de Gijón,2
17,Valência CF,2
18,FC Villarreal,2
19,Real Madrid CF,1
