,Equipo,penaltis_contra
0,Valência CF,13
1,UD Las Palmas,11
2,Celta de Vigo,10
3,Real Sporting de Gijón,9
4,CA Osasuna,9
5,Málaga CF,7
6,CD Leganés,7
7,Real Sociedad,7
8,SD Eibar,6
9,FC Villarreal,6
10,Deportivo Alavés,6
11,Sevilla FC,5
12,Real Bétis,5
13,Atlético de Madrid,4
14,Real Madrid CF,4
15,Granada CF,4
16,RC Deportivo de Corunha,3
17,Athletic Bilbao,3
18,RCD Espanyol,2
19,FC Barcelona,0
