,Equipo,penaltis
0,Getafe CF,12
1,Athletic Bilbao,10
2,Málaga CF,10
3,FC Barcelona,9
4,CD Numância,9
5,RCD Espanyol,9
6,Valência CF,9
7,RC Deportivo de Corunha,8
8,Racing Santander,7
9,Atlético de Madrid,7
10,Real Sporting de Gijón,7
11,FC Villarreal,6
12,Real Bétis,5
13,UD Almería,5
14,CA Osasuna,4
15,Real Madrid CF,4
16,Recreativo de Huelva,4
17,RCD Mallorca,3
18,Sevilla FC,3
19,Real Valladolid CF,3
