Temporada,Total_F,Total_Y,Total_R
05/06,14814,1986,147
06/07,13918,1900,157
07/08,13182,1875,143
08/09,12655,1996,156
09/10,12094,1898,152
10/11,11056,1917,111
11/12,11166,2128,130
12/13,10803,2060,141
13/14,10602,1866,115
14/15,10809,2009,101
15/16,10335,2002,109
16/17,10598,1899,88
17/18,10521,1906,72
18/19,10291,1965,79
19/20,10432,1950,86
20/21,10067,1694,76
21/22,10046,1954,88
22/23,9840,1907,135
